method,prompt_type,after_dead_rounds,dead_after_dead_share,full_after_dead_share,middle_after_dead_share,base_dead_share,dead_clustering_lift
sync_k8,gsm8k,68,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.1837837837837838,1.4403114186851211
sync_k8,humaneval,154,0.5194805194805194,0.2727272727272727,0.2077922077922078,0.34684684684684686,1.4977230561646144
tree_k8_b3,gsm8k,68,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.1837837837837838,1.4403114186851211
tree_k8_b3,humaneval,152,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.3438914027149321,1.5304709141274238
