feature,label,pearson,samples,window
staleness_rounds,next_accept_len_drop,0.008123,1810,4
staleness_rounds,oracle_overlap,-0.005935,1810,4
staleness_rounds,stale_oracle_label,-0.026945,1810,4
recent_acceptance_len,next_accept_len_drop,0.283922,1810,4
recent_acceptance_len,oracle_overlap,0.222679,1810,4
recent_acceptance_len,stale_oracle_label,-0.251466,1810,4
accepted_len_drop,next_accept_len_drop,-0.186289,1810,4
accepted_len_drop,oracle_overlap,-0.001080,1810,4
accepted_len_drop,stale_oracle_label,0.019475,1810,4
pipeline_wait_ms,next_accept_len_drop,,1810,4
pipeline_wait_ms,oracle_overlap,,1810,4
pipeline_wait_ms,stale_oracle_label,,1810,4
pipeline_hit,next_accept_len_drop,,1810,4
pipeline_hit,oracle_overlap,,1810,4
pipeline_hit,stale_oracle_label,,1810,4
pipeline_reuse,next_accept_len_drop,,1810,4
pipeline_reuse,oracle_overlap,,1810,4
pipeline_reuse,stale_oracle_label,,1810,4
