threshold,window,update_cost_ms_each,rounds,accepted_tokens,updates,total_update_cost_ms,accepted_per_update
1,4,0.0,1810,3612,290,0.000,12.455
2,4,0.0,1810,3612,874,0.000,4.133
3,4,0.0,1810,3612,1441,0.000,2.507
4,4,0.0,1810,3612,1685,0.000,2.144
5,4,0.0,1810,3612,1810,0.000,1.996
6,4,0.0,1810,3612,1810,0.000,1.996
