network,selected_offset,slots,accepted,prefetched_tokens,base_draft_ms,branch_draft_ms,total_wait_ms,exposed_branch_ms
good,0.0,196,2.806122448979592,0.0,29.301647015305505,75.06330832143192,91.39713664795782,0.062077382650892216
good,8.0,210,8.0,6.347619047619047,20.62916843333369,76.98120113811206,95.32409371428338,0.017610619048420113
medium,0.0,196,2.806122448979592,0.0,26.771768765310558,83.1538612448984,121.4856691530634,0.003491530612350567
medium,8.0,210,8.0,6.942857142857143,18.182950619048672,79.5915217619116,125.36562495713984,0.009400076190299192
