method,prev_state,rounds,p_dead_next,p_middle_next,p_full_next,avg_next_accept
sync_k8,dead,222,0.44144144144144143,0.24324324324324326,0.3153153153153153,4.009009009009009
sync_k8,full,402,0.14427860696517414,0.16417910447761194,0.6915422885572139,6.45273631840796
sync_k8,middle,150,0.32,0.16,0.52,5.24
tree_k8_b3,dead,220,0.44545454545454544,0.24545454545454545,0.3090909090909091,3.9727272727272727
tree_k8_b3,full,404,0.14356435643564355,0.15841584158415842,0.698019801980198,6.5049504950495045
tree_k8_b3,middle,148,0.3108108108108108,0.16216216216216217,0.527027027027027,5.283783783783784
