method,prompt_type,round_index,rounds,avg_accept,dead_share,middle_share,full_share,avg_prefix_len
tree_k8_b3,gsm8k,18,8,5.0,0.25,0.25,0.5,175.5
tree_k8_b3,gsm8k,19,8,8.0,0.0,0.0,1.0,181.5
tree_k8_b3,gsm8k,20,2,8.0,0.0,0.0,1.0,150.0
tree_k8_b3,gsm8k,21,2,8.0,0.0,0.0,1.0,159.0
tree_k8_b3,gsm8k,22,2,8.0,0.0,0.0,1.0,168.0
tree_k8_b3,gsm8k,23,2,8.0,0.0,0.0,1.0,177.0
tree_k8_b3,gsm8k,24,2,8.0,0.0,0.0,1.0,186.0
tree_k8_b3,humaneval,0,20,2.4,0.8,0.0,0.2,112.9
tree_k8_b3,humaneval,1,20,2.4,0.7,0.1,0.2,116.3
tree_k8_b3,humaneval,2,20,3.9,0.4,0.3,0.3,119.7
tree_k8_b3,humaneval,3,20,5.2,0.3,0.2,0.5,124.6
tree_k8_b3,humaneval,4,20,6.4,0.2,0.0,0.8,130.8
tree_k8_b3,humaneval,5,20,5.5,0.3,0.2,0.5,138.2
tree_k8_b3,humaneval,6,20,5.1,0.3,0.4,0.3,144.7
tree_k8_b3,humaneval,7,20,4.5,0.5,0.0,0.5,150.8
tree_k8_b3,humaneval,8,20,4.9,0.4,0.0,0.6,156.3
tree_k8_b3,humaneval,9,20,4.9,0.4,0.1,0.5,162.2
tree_k8_b3,humaneval,10,20,5.5,0.3,0.1,0.6,168.1
tree_k8_b3,humaneval,11,20,4.7,0.4,0.1,0.5,174.6
tree_k8_b3,humaneval,12,20,5.5,0.3,0.1,0.6,180.3
tree_k8_b3,humaneval,13,20,5.1,0.3,0.2,0.5,186.8
tree_k8_b3,humaneval,14,20,5.2,0.2,0.4,0.4,192.9
tree_k8_b3,humaneval,15,20,5.3,0.3,0.2,0.5,199.1
tree_k8_b3,humaneval,16,20,5.6,0.3,0.2,0.5,205.4
tree_k8_b3,humaneval,17,20,4.6,0.3,0.4,0.3,212.0
tree_k8_b3,humaneval,18,18,5.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,217.77777777777777
tree_k8_b3,humaneval,19,16,6.25,0.125,0.25,0.625,217.0
tree_k8_b3,humaneval,20,12,5.166666666666667,0.16666666666666666,0.5,0.3333333333333333,221.16666666666666
tree_k8_b3,humaneval,21,10,6.8,0.2,0.0,0.8,223.0
tree_k8_b3,humaneval,22,6,5.666666666666667,0.3333333333333333,0.0,0.6666666666666666,198.0
tree_k8_b3,humaneval,23,4,4.5,0.5,0.0,0.5,192.0
tree_k8_b3,humaneval,24,4,4.5,0.5,0.0,0.5,197.5
tree_k8_b3,humaneval,25,4,8.0,0.0,0.0,1.0,203.0
tree_k8_b3,humaneval,26,2,3.0,0.0,1.0,0.0,190.0
tree_k8_b3,humaneval,27,2,3.0,0.0,1.0,0.0,194.0
tree_k8_b3,humaneval,28,2,8.0,0.0,0.0,1.0,198.0
tree_k8_b3,humaneval,29,2,8.0,0.0,0.0,1.0,207.0
