network,method,prompt_type,prompt_id,tokens,total_ms,tps,server_model_ms,http_rpc_ms,local_draft_ms,sim_network_ms,avg_rtt_ms,rounds,acceptance_rate,accepted_per_round,generated_per_round,prefetched_tokens,reused_branch_count,selected_offset,exposed_branch_ms,method_label,direct_tps,direct_total_ms,speedup_vs_direct,ms_saved_vs_direct
good,direct,gsm8k,1,128,2940.549378000059,43.5292809424122,2913.2041931152344,2915.423578000059,0.0,25.125799999999998,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,43.5292809424122,2940.549378000059,1.0,0.0
good,sync_k8,gsm8k,1,130,2413.8383865356445,53.85613250876202,1143.376350402832,1178.216929333201,725.7263660430908,504.57,84.13934646666004,20,0.6875,5.5,6.5,0.0,0.0,0.0,0.0,Sync K=8,43.5292809424122,2940.549378000059,1.237239194922882,526.7109914644143
good,tree_k8_b3,gsm8k,1,130,2244.2342670000244,57.926216487986004,1138.9315128326416,1183.3454619997513,2006.8803919997436,504.57,84.39577309998757,20,0.6875,5.5,6.5,2.85,0.55,4.4,0.048677500001304,Tree K=8 B=3,43.5292809424122,2940.549378000059,1.3307414051847186,696.3151110000344
good,direct,gsm8k,2,128,3017.456110666664,42.41983820328715,2988.6341094970703,2992.297043999997,0.0,25.159066666666668,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,42.41983820328715,3017.456110666664,1.0,0.0
good,sync_k8,gsm8k,2,129,2567.863702774048,50.23631116427327,1279.8161506652832,1322.3364569999821,733.8557243347168,505.32,91.3828228499991,20,0.68125,5.45,6.45,0.0,0.0,0.0,0.0,Sync K=8,42.41983820328715,3017.456110666664,1.1842645632811588,449.59240789261594
good,tree_k8_b3,gsm8k,2,129,2333.7140360000603,55.276695434845756,1284.6119403839111,1325.7731476667461,1911.736256999916,505.32,91.55465738333731,20,0.68125,5.45,6.45,3.1,0.45,3.6,0.0,Tree K=8 B=3,42.41983820328715,3017.456110666664,1.303085956385433,683.7420746666035
good,direct,gsm8k,3,128,2890.8223473334037,44.27805815119414,2863.0666732788086,2865.6916140000703,0.0,25.130733333333332,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,44.27805815119414,2890.8223473334037,1.0,0.0
good,sync_k8,gsm8k,3,135,2125.749111175537,63.50702408401579,1038.6219024658203,1067.5474300000542,623.4481334686279,429.17,88.04220176470906,17,0.8676470588235294,6.9411764705882355,7.9411764705882355,0.0,0.0,0.0,0.0,Sync K=8,44.27805815119414,2890.8223473334037,1.4342775346461996,765.0732361578666
good,tree_k8_b3,gsm8k,3,135,1978.867097000034,68.22085232740503,1044.7626113891602,1075.976113666929,1768.221123999524,429.17,88.53800668628993,17,0.8676470588235294,6.9411764705882355,7.9411764705882355,3.0,0.47058823529411764,3.764705882352941,0.1647734117515189,Tree K=8 B=3,44.27805815119414,2890.8223473334037,1.5407372223608946,911.9552503333698
good,direct,gsm8k,4,128,2809.6682023333115,45.55698067611734,2781.0471057891846,2784.5538689999785,0.0,25.114333333333335,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,45.55698067611734,2809.6682023333115,1.0,0.0
good,sync_k8,gsm8k,4,129,2504.3208599090576,51.510971323652406,1414.12353515625,1447.577112999902,622.2963333129883,428.76,110.3727713529354,17,0.8235294117647058,6.588235294117647,7.588235294117647,0.0,0.0,0.0,0.0,Sync K=8,45.55698067611734,2809.6682023333115,1.1306932671825718,305.34734242425384
good,tree_k8_b3,gsm8k,4,129,1734.168885000031,74.38721863585835,898.6420631408691,925.5973396668005,1535.763928000847,428.76,79.66807880392942,17,0.8235294117647058,6.588235294117647,7.588235294117647,4.470588235294118,0.7647058823529411,6.117647058823529,0.07670258823696606,Tree K=8 B=3,45.55698067611734,2809.6682023333115,1.632839084853024,1075.4993173332805
good,direct,gsm8k,5,128,2867.3493906667145,44.640531222544006,2840.0182723999023,2842.2393240000474,0.0,25.11006666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,44.640531222544006,2867.3493906667145,1.0,0.0
good,sync_k8,gsm8k,5,133,2955.237865447998,45.00483753101814,1339.8802280426025,1387.153368666999,930.5019378662109,630.46,80.70453474667994,25,0.54,4.32,5.32,0.0,0.0,0.0,0.0,Sync K=8,44.640531222544006,2867.3493906667145,1.0081608864970262,-87.88847478128355
good,tree_k8_b3,gsm8k,5,133,2781.60539299995,47.81411494768496,1345.902442932129,1398.1501233334845,2468.8782310003035,630.46,81.14440493333937,25,0.54,4.32,5.32,2.48,0.4,3.2,0.0532288000022163,Tree K=8 B=3,44.640531222544006,2867.3493906667145,1.0710919793790057,85.7439976667647
good,direct,gsm8k,6,128,2978.782201999981,42.97058036470732,2951.113224029541,2953.655401999981,0.0,25.126800000000003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,42.97058036470732,2978.782201999981,1.0,0.0
good,sync_k8,gsm8k,6,128,2356.9822311401367,54.306731000718194,1082.857370376587,1118.5630803339259,728.1069755554199,504.47,81.15165401669631,20,0.675,5.4,6.4,0.0,0.0,0.0,0.0,Sync K=8,42.97058036470732,2978.782201999981,1.2638119043260936,621.7999708598445
good,tree_k8_b3,gsm8k,6,128,2212.896109999974,57.84275159668544,1103.4369468688965,1140.4819070002002,2013.2087950012192,504.47,82.24759535001002,20,0.675,5.4,6.4,2.55,0.4,3.2,0.02504980000139767,Tree K=8 B=3,42.97058036470732,2978.782201999981,1.3461012419602543,765.886092000007
good,direct,gsm8k,7,128,2778.3311276666486,46.070822417592616,2748.3906745910645,2753.200860999982,0.0,25.130266666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,46.070822417592616,2778.3311276666486,1.0,0.0
good,sync_k8,gsm8k,7,130,1902.7056694030762,68.32375710573463,863.6946678161621,891.9204800002044,602.4909019470215,403.48,80.96253000001276,16,0.890625,7.125,8.125,0.0,0.0,0.0,0.0,Sync K=8,46.070822417592616,2778.3311276666486,1.4830157900468584,875.6254582635725
good,tree_k8_b3,gsm8k,7,135,1637.4277740000025,82.446384593938,863.5799884796143,893.3019200002425,1522.04177300041,403.49,81.04949500001517,16,0.9296875,7.4375,8.4375,4.8125,0.75,6.0,0.04384587499828285,Tree K=8 B=3,46.070822417592616,2778.3311276666486,1.7895574740696405,1140.9033536666461
good,direct,gsm8k,8,128,2957.8956603333954,43.27400784163315,2930.835247039795,2932.782927000062,0.0,25.11273333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,43.27400784163315,2957.8956603333954,1.0,0.0
good,sync_k8,gsm8k,8,132,2010.6806755065918,65.649409977416,947.288990020752,978.3623310003386,598.4106063842773,428.83,82.77601947060816,17,0.8455882352941176,6.764705882352941,7.764705882352941,0.0,0.0,0.0,0.0,Sync K=8,43.27400784163315,2957.8956603333954,1.5170633193409897,947.2149848268036
good,tree_k8_b3,gsm8k,8,132,1773.4059739999566,74.43304124112713,958.2901000976562,988.9868723333434,1596.0299130002795,428.83,83.40099249019666,17,0.8455882352941176,6.764705882352941,7.764705882352941,4.647058823529412,0.7058823529411765,5.647058823529412,0.06979905881909122,Tree K=8 B=3,43.27400784163315,2957.8956603333954,1.7200403880667698,1184.4896863334388
good,direct,gsm8k,9,128,2900.345202999957,44.13267767836872,2873.1322288513184,2875.238602999957,0.0,25.1066,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,44.13267767836872,2900.345202999957,1.0,0.0
good,sync_k8,gsm8k,9,136,1896.7998027801514,71.69971222090173,862.410306930542,890.7432819999831,597.3832607269287,403.55,80.89333012499894,16,0.9375,7.5,8.5,0.0,0.0,0.0,0.0,Sync K=8,44.13267767836872,2900.345202999957,1.6246399718466384,1003.5454002198057
good,tree_k8_b3,gsm8k,9,136,1710.7347480000499,79.49800526293866,871.4921474456787,901.6448313334092,1505.1621070007286,403.55,81.57467695833807,16,0.9375,7.5,8.5,4.0625,0.75,6.0,0.09478506250815144,Tree K=8 B=3,44.13267767836872,2900.345202999957,1.8013410797846052,1189.6104549999072
good,direct,gsm8k,10,128,3016.8009746666776,42.42905020081497,2989.7141456604004,2991.681308000011,0.0,25.119666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,42.42905020081497,3016.8009746666776,1.0,0.0
good,sync_k8,gsm8k,10,128,2003.5223960876465,63.887481492570494,913.7842655181885,944.3053326667825,624.6242523193359,428.71,80.76560780392839,17,0.8161764705882353,6.529411764705882,7.529411764705882,0.0,0.0,0.0,0.0,Sync K=8,42.42905020081497,3016.8009746666776,1.5057485659045782,1013.2785785790311
good,tree_k8_b3,gsm8k,10,128,1838.957697000069,69.60464626718121,921.0221767425537,956.1364400001255,1611.8176470002936,428.7,81.46096705883092,17,0.8161764705882353,6.529411764705882,7.529411764705882,3.7058823529411766,0.5882352941176471,4.705882352941177,0.058983588233144583,Tree K=8 B=3,42.42905020081497,3016.8009746666776,1.6404950367200126,1177.8432776666086
good,direct,humaneval,1,128,2860.0420863332665,44.754586169080866,2833.0087661743164,2834.886552999933,0.0,25.15553333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,44.754586169080866,2860.0420863332665,1.0,0.0
good,sync_k8,humaneval,1,130,2867.4049377441406,45.33716123899621,1519.2224979400635,1557.5459136665418,771.7280387878418,531.16,99.4621863650734,21,0.6488095238095238,5.190476190476191,6.190476190476191,0.0,0.0,0.0,0.0,Sync K=8,44.754586169080866,2860.0420863332665,1.0130171032688002,-7.3628514108741
good,tree_k8_b3,humaneval,1,130,2612.2813139999153,49.76493125119993,1528.2642841339111,1573.599207333365,2220.70949099907,531.16,100.22662892063644,21,0.6488095238095238,5.190476190476191,6.190476190476191,3.619047619047619,0.5238095238095238,4.190476190476191,0.0,Tree K=8 B=3,44.754586169080866,2860.0420863332665,1.1119515453274487,247.76077233335127
good,direct,humaneval,2,128,2962.973483000044,43.199846618403946,2933.9659214019775,2937.846483000044,0.0,25.127,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,43.199846618403946,2962.973483000044,1.0,0.0
good,sync_k8,humaneval,2,133,3492.5546646118164,38.08100739198664,1809.077262878418,1860.8662833330113,966.7665958404541,656.91,96.83754935896195,26,0.5144230769230769,4.115384615384615,5.115384615384615,0.0,0.0,0.0,0.0,Sync K=8,43.199846618403946,2962.973483000044,0.8815079305342582,-529.5811816117725
good,tree_k8_b3,humaneval,2,133,3177.858178000065,41.852087963126614,1801.4202117919922,1853.2227770002269,2677.8085829994325,656.91,96.54356834616257,26,0.5144230769230769,4.115384615384615,5.115384615384615,2.8846153846153846,0.4230769230769231,3.3846153846153846,0.0,Tree K=8 B=3,43.199846618403946,2962.973483000044,0.9688017722103864,-214.8846950000211
good,direct,humaneval,3,128,2918.80843033336,43.85351182002068,2889.7807598114014,2893.6214970000265,0.0,25.186933333333332,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,43.85351182002068,2918.80843033336,1.0,0.0
good,sync_k8,humaneval,3,128,3167.7534580230713,40.40718499598202,1752.683401107788,1790.450693666514,813.4374618530273,557.01,106.70275880302333,22,0.6022727272727273,4.818181818181818,5.818181818181818,0.0,0.0,0.0,0.0,Sync K=8,43.85351182002068,2918.80843033336,0.9214127516586873,-248.94502768971142
good,tree_k8_b3,humaneval,3,128,3013.458620999927,42.476110044453506,1757.7860355377197,1802.8213253325814,2421.9441250008913,557.01,107.2650602423901,22,0.6022727272727273,4.818181818181818,5.818181818181818,2.1363636363636362,0.3181818181818182,2.5454545454545454,0.0,Tree K=8 B=3,43.85351182002068,2918.80843033336,0.9685908444181125,-94.65019066656714
good,direct,humaneval,4,128,2964.2567389999817,43.18114497841436,2936.552047729492,2939.1225389999818,0.0,25.1342,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Direct,43.18114497841436,2964.2567389999817,1.0,0.0
good,sync_k8,humaneval,4,136,2990.670919418335,45.47474585617433,1542.1116352081299,1580.9772509999643,821.9444751739502,580.88,93.99379352173759,23,0.6141304347826086,4.913043478260869,5.913043478260869,0.0,0.0,0.0,0.0,Sync K=8,43.18114497841436,2964.2567389999817,1.0531157957693458,-26.414180418353226
