network,method,method_family,prompt_type,prompt_id,detail_index,tokens,total_ms,overhead_ms,server_ms,http_ms,ul_ms,dl_ms,round_id,K,drafted,accepted,draft_time_ms,server_time_ms,rtt_ms,correction,verify_prefix_len,verify_draft_len,verify_input_len,slot_id,draft_ms,verify_ms,tree_branch_width,selected_offset,stale_branches,base_accepted,base_draft_ms,branch_draft_ms,streamed_branch_tokens,exposed_branch_ms,active_spec_branches,base_wait_ms,total_wait_ms,prefetched_tokens
good,tree_k8_b3,tree_async,gsm8k,1,5,,,,,,,,,,18.0,8.0,,,78.01238533326647,,106.0,8.0,114.0,501.0,91.25345200004631,50.66990852355957,3.0,8.0,2.0,8.0,25.164488999962487,66.08896300008382,10.0,0.9735500000260799,2.0,77.7985689999241,77.79923999999028,4.0
good,tree_k8_b3,tree_async,gsm8k,1,6,,,,,,,,,,20.0,8.0,,,79.88677066667083,,115.0,8.0,123.0,601.0,93.46386800007167,52.005767822265625,3.0,8.0,2.0,8.0,18.564672000024984,74.89919600004669,12.0,0.0,2.0,79.59909199996673,79.59977300004084,5.0
good,tree_k8_b3,tree_async,gsm8k,1,7,,,,,,,,,,20.0,3.0,,,82.83655900003663,,124.0,8.0,132.0,700.0,94.67313599998306,55.33885955810547,3.0,0.0,2.0,3.0,16.08353699998588,78.58959899999718,12.0,0.0,2.0,82.59677600005944,82.59745700001986,0.0
good,tree_k8_b3,tree_async,gsm8k,1,8,,,,,,,,,,24.0,3.0,,,84.25995566665814,,128.0,8.0,136.0,800.0,125.22934100013572,56.77294731140137,3.0,0.0,2.0,3.0,42.37370600003487,82.85563500010085,16.0,0.0,2.0,83.88472800004365,83.88540900000407,0.0
good,tree_k8_b3,tree_async,gsm8k,1,9,,,,,,,,,,24.0,0.0,,,84.59130099990603,,132.0,8.0,140.0,900.0,110.98829800005205,56.99348449707031,3.0,0.0,2.0,0.0,33.87581599997702,77.11248200007503,16.0,0.0,2.0,84.17465100001209,84.17587300004925,0.0
good,tree_k8_b3,tree_async,gsm8k,1,10,,,,,,,,,,24.0,4.0,,,85.31588133337306,,133.0,8.0,141.0,1000.0,104.05068399995798,57.42025375366211,3.0,0.0,2.0,4.0,33.719738000058896,70.33094599989909,16.0,0.0,2.0,84.67912600008276,84.68175100006192,0.0
good,tree_k8_b3,tree_async,gsm8k,1,11,,,,,,,,,,24.0,2.0,,,88.1989376666497,,138.0,8.0,146.0,1100.0,108.05849499990927,60.82487106323242,3.0,0.0,2.0,2.0,33.7352499999497,74.32324499995957,16.0,0.0,2.0,87.45162699995035,87.45213800000329,0.0
good,tree_k8_b3,tree_async,gsm8k,1,12,,,,,,,,,,20.0,2.0,,,87.85455733330656,,141.0,8.0,149.0,1200.0,109.52301300017098,60.607194900512695,3.0,0.0,2.0,2.0,33.846739999944475,75.6762730002265,12.0,0.0,2.0,87.3339949999945,87.33471699997608,0.0
good,tree_k8_b3,tree_async,gsm8k,1,13,,,,,,,,,,22.0,2.0,,,89.1959136665878,,144.0,8.0,152.0,1300.0,121.09978099988439,61.46883964538574,3.0,0.0,2.0,2.0,35.27424699996118,85.82553399992321,14.0,0.0,2.0,88.59313300001759,88.59409499996218,0.0
good,tree_k8_b3,tree_async,gsm8k,1,14,,,,,,,,,,24.0,4.0,,,88.3361683333815,,147.0,8.0,155.0,1400.0,131.17793300011726,61.24067306518555,3.0,0.0,2.0,4.0,44.86484099993504,86.31309200018222,16.0,0.0,2.0,87.78754000002209,87.78843200002484,0.0
good,tree_k8_b3,tree_async,gsm8k,1,15,,,,,,,,,,24.0,8.0,,,89.12579133332395,,152.0,8.0,160.0,1501.0,110.09134899984474,61.600446701049805,3.0,8.0,2.0,8.0,33.10095500000898,76.99039399983576,16.0,0.0,2.0,88.99543299992274,88.99635499994929,7.0
good,tree_k8_b3,tree_async,gsm8k,1,16,,,,,,,,,,24.0,8.0,,,94.64788833335093,,161.0,8.0,169.0,1601.0,64.04894400031935,66.92671775817871,3.0,8.0,2.0,8.0,7.0846959999926185,56.964248000326734,16.0,0.0,2.0,94.47895999994671,94.47994199990717,7.0
good,tree_k8_b3,tree_async,gsm8k,1,17,,,,,,,,,,24.0,8.0,,,99.15988633335562,,170.0,8.0,178.0,1701.0,82.57319799986362,71.08354568481445,3.0,8.0,2.0,8.0,6.490713999937725,76.0824839999259,16.0,0.0,2.0,98.84712699999909,98.84810899995955,7.0
good,tree_k8_b3,tree_async,gsm8k,1,18,,,,,,,,,,24.0,8.0,,,100.25972566668638,,179.0,8.0,187.0,1801.0,85.0448599998117,72.77965545654297,3.0,8.0,2.0,8.0,6.952033999937157,78.09282599987455,16.0,0.0,2.0,99.60429000000204,99.60487099999682,7.0
good,tree_k8_b3,tree_async,gsm8k,1,19,,,,,,,,,,24.0,8.0,,,104.70746666656969,,188.0,8.0,196.0,1901.0,104.97877299997072,76.89404487609863,3.0,8.0,2.0,8.0,7.305490000021564,97.67328299994915,16.0,0.0,2.0,103.98076299998138,103.98154500001056,7.0
good,direct,direct,gsm8k,2,0,128.0,3017.456110666664,25.159066666666668,2988.6341094970703,2992.297043999997,12.6232,12.535866666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,0,,,,,,,,0.0,8.0,8.0,2.0,38.54012489318848,47.56331443786621,75.2475713332317,279.0,93.0,8.0,101.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,1,,,,,,,,1.0,8.0,8.0,4.0,37.25719451904297,47.63078689575195,75.67068400003558,279.0,96.0,8.0,104.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,2,,,,,,,,2.0,8.0,8.0,8.0,37.41312026977539,46.87786102294922,74.55842466665607,1438.0,101.0,8.0,109.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,3,,,,,,,,3.0,8.0,8.0,8.0,37.90473937988281,52.52242088317871,80.18089033340402,13.0,110.0,8.0,118.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,4,,,,,,,,4.0,8.0,8.0,6.0,35.475969314575195,53.337812423706055,80.79654499997321,481.0,119.0,8.0,127.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,5,,,,,,,,5.0,8.0,8.0,0.0,34.52706336975098,57.25455284118652,84.43480166674442,576.0,126.0,8.0,134.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,6,,,,,,,,6.0,8.0,8.0,2.0,35.46595573425293,57.67178535461426,85.32843100006491,2115.0,127.0,8.0,135.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,7,,,,,,,,7.0,8.0,8.0,0.0,35.13455390930176,57.67464637756348,85.48462766676826,400.0,130.0,8.0,138.0,,,,,,,,,,,,,,,
good,sync_k8,sync_spec,gsm8k,2,8,,,,,,,,8.0,8.0,8.0,8.0,37.81890869140625,56.34164810180664,83.84283166669147,382.0,131.0,8.0,139.0,,,,,,,,,,,,,,,
