network,prompt_type,method,runs,tokens_per_second,total_ms,speedup_vs_direct,rounds,acceptance_rate,prefetched_tokens
good,gsm8k,direct,10,43.93018276986716,2915.800059666681,1.0,0.0,0.0,0.0
good,gsm8k,sync_k8,10,58.79823684090627,2273.7700700759888,1.3388914997994996,18.5,0.7764816176470588,0.0
good,gsm8k,tree_k8_b3,10,66.74499267956506,2024.6011981000152,1.5176030868764359,18.5,0.7803878676470588,3.567852941176471
good,humaneval,direct,10,43.845461835980785,2802.3394788333344,1.0,0.0,0.0,0.0
good,humaneval,sync_k8,10,43.887579999664595,3082.8567266464233,1.001620709096836,22.2,0.6372914502459406,0.0
good,humaneval,tree_k8_b3,10,47.944477132363076,2834.884563399987,1.0943328329497433,22.1,0.6389551970836345,3.2221933812437245
medium,gsm8k,direct,10,43.24398770116591,2963.3216186142918,1.0,0.0,0.0,0.0
medium,gsm8k,sync_k8,10,47.949984269213076,2784.7350120544434,1.1115513687666336,18.5,0.7764816176470588,0.0
medium,gsm8k,tree_k8_b3,10,53.777427772335855,2507.7933916999996,1.2466930564731107,18.5,0.7803878676470588,4.021191176470588
medium,humaneval,direct,10,42.806840132097314,2872.292796542859,1.0,0.0,0.0,0.0
medium,humaneval,sync_k8,10,36.132317784264785,3739.509439468384,0.844813436644951,22.2,0.6372914502459406,0.0
medium,humaneval,tree_k8_b3,10,39.281634843383465,3457.9097361000213,0.9186116680669253,22.1,0.6389551970836345,3.4385160263077887
