network,method,prompt_type,prompt_id,verify_input_len,verify_ms,rtt_ms
good,sync_k8,gsm8k,3,175.0,68.25757026672363,95.09908733335617
good,sync_k8,gsm8k,3,184.0,72.72696495056152,99.73933633338407
good,sync_k8,gsm8k,3,193.0,77.72207260131836,104.69738733336507
good,sync_k8,gsm8k,3,202.0,79.76984977722168,106.68954599995028
good,sync_k8,gsm8k,3,211.0,83.00900459289551,109.61939333335098
good,tree_k8_b3,gsm8k,3,85.0,,71.20225433325845
good,tree_k8_b3,gsm8k,3,93.0,,69.43484033335311
good,tree_k8_b3,gsm8k,3,102.0,,71.97900999999366
good,tree_k8_b3,gsm8k,3,111.0,,74.05307900003582
good,tree_k8_b3,gsm8k,3,120.0,,79.64394233339641
good,tree_k8_b3,gsm8k,3,128.0,,79.60814199995957
good,tree_k8_b3,gsm8k,3,137.0,,83.60776133334232
good,tree_k8_b3,gsm8k,3,146.0,,89.1743670000254
good,tree_k8_b3,gsm8k,3,155.0,,88.33668033330764
good,tree_k8_b3,gsm8k,3,158.0,,92.429454333377
good,tree_k8_b3,gsm8k,3,163.0,,95.34501466669983
good,tree_k8_b3,gsm8k,3,171.0,,95.28841733339797
good,tree_k8_b3,gsm8k,3,175.0,,96.83043700009426
good,tree_k8_b3,gsm8k,3,184.0,,99.77209733332717
good,tree_k8_b3,gsm8k,3,193.0,,103.92054033336771
good,tree_k8_b3,gsm8k,3,202.0,,104.86233100001552
good,tree_k8_b3,gsm8k,3,211.0,,109.65774499997727
good,sync_k8,gsm8k,4,63.0,34.285783767700195,61.08713833331484
good,sync_k8,gsm8k,4,72.0,38.74063491821289,66.10999766665265
good,sync_k8,gsm8k,4,81.0,41.37253761291504,69.1802696666758
good,sync_k8,gsm8k,4,85.0,41.762590408325195,69.24331733330703
good,sync_k8,gsm8k,4,94.0,43.05601119995117,70.59924066667855
good,sync_k8,gsm8k,4,97.0,46.501874923706055,73.80262200006777
good,sync_k8,gsm8k,4,106.0,46.02837562561035,72.62490833331465
good,sync_k8,gsm8k,4,115.0,49.88503456115723,76.30102299993638
good,sync_k8,gsm8k,4,124.0,51.95903778076172,79.2914040000345
good,sync_k8,gsm8k,4,127.0,52.445411682128906,79.05403166667514
good,sync_k8,gsm8k,4,136.0,56.33282661437988,82.86185633334696
good,sync_k8,gsm8k,4,145.0,63.756704330444336,90.62535999999312
good,sync_k8,gsm8k,4,154.0,64.19563293457031,91.33132933331117
good,sync_k8,gsm8k,4,163.0,569.7541236877441,596.8977116666371
good,sync_k8,gsm8k,4,172.0,69.03672218322754,96.80121566670064
good,sync_k8,gsm8k,4,174.0,71.80356979370117,99.87542866658784
good,sync_k8,gsm8k,4,183.0,73.20666313171387,100.65025866666795
good,tree_k8_b3,gsm8k,4,63.0,,61.845462333317926
good,tree_k8_b3,gsm8k,4,72.0,,63.323046000008276
good,tree_k8_b3,gsm8k,4,81.0,,65.70845633333604
